AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BEDROOM,SALES_PRICE
Karapakkam,1004,131,1,1,3,AbNormal,Yes,Commercial,AllPub,Paved,A,4,4.9,7600000
Anna Nagar,1986,26,2,1,5,AbNormal,No,Commercial,AllPub,Gravel,RH,4.9,2.5,21717770
Adyar,909,70,1,1,3,AbNormal,Yes,Commercial,ELO,Gravel,RL,4.1,2.2,13159200
Velachery,1855,14,3,2,5,Family,No,Others,NoSewr ,Paved,I,4.7,3.6,9630290
Karapakkam,1226,84,1,1,3,AbNormal,Yes,Others,AllPub,Gravel,C,3,4.1,7406250
Chrompet,1220,36,2,1,4,Partial,No,Commercial,NoSeWa,No Access,RH,4.5,3.1,12394750
Chrompet,1167,137,1,1,3,Partial,No,Others,AllPub,No Access,RL,3.6,2.5,8488790
Velachery,1847,176,3,2,5,Family,No,Commercial,AllPub,Gravel,RM,2.4,2.1,16800250
Chrompet,771,175,1,1,2,AdjLand,No,Others,NoSewr ,Paved,RM,2.9,4,8308970
Velachery,1635,74,2,1,4,AbNormal,No,Others,ELO,No Access,I,3.1,3.3,8083650
Chrompet,1203,78,2,1,4,AdjLand,Yes,Commercial,AllPub,No Access,RM,4,4.5,14938000
Chrompet,1054,143,1,1,3,Partial,No,Others,NoSewr ,Gravel,RM,2.2,3.3,9449730
Chrompet,1196,137,1,1,3,Family,No,Others,NoSewr ,No Access,RL,2.1,2.1,8774370
Adyar,1056,83,1,1,3,Partial,Yes,Others,NoSewr ,Paved,RH,2.2,3.7,9386490
Velachery,1865,157,3,2,5,Family,No,Commercial,NoSewr ,Paved,RM,4.8,4.9,15499680
Velachery,1868,148,3,2,5,Family,No,Commercial,NoSewr ,Gravel,RH,3.8,3.1,15714080
Karapakkam,1639,175,2,2,4,Normal Sale,Yes,House,ELO,Gravel,I,2.3,4.8,8656000
Chrompet,796,134,1,1,2,AdjLand,Yes,Commercial,AllPub,No Access,RL,3.5,4.7,10912550
Adyar,1136,69,1,1,3,Normal Sale,Yes,Others,AllPub,Paved,A,4.6,2.9,8287550
Anna Nagar,1902,168,2,1,5,Family,Yes,Commercial,ELO,Paved,RL,4.5,4.9,21203240
Chrompet,1069,53,1,1,3,AbNormal,Yes,Others,NoSewr ,Paved,RM,2.8,4.9,10905530
Chrompet,931,96,1,1,3,AbNormal,Yes,Others,ELO,Paved,RL,4.2,3.1,9185970
KK Nagar,2010,114,3,2,5,Partial,No,Others,NoSewr ,Gravel,RH,3.4,3.4,10925400
Chrompet,1074,100,1,1,3,AbNormal,No,Others,NoSewr ,Gravel,RL,3,4.9,9627380
T Nagar,1972,111,2,1,5,AdjLand,No,Others,NoSewr ,No Access,RH,4.1,2.8,13922760
T Nagar,1685,105,1,1,4,Family,No,House,NoSewr ,Gravel,RM,2.8,4,12601080
Adyar,1130,29,1,1,3,Family,Yes,Commercial,ELO,Paved,RH,2.3,2.2,13383350
Karapakkam,1301,59,1,1,3,Normal Sale,Yes,Others,NoSewr ,Gravel,C,2.8,3.8,7939625
Adyar,730,185,1,1,2,AdjLand,Yes,House,ELO,Gravel,RL,2.7,4.9,8848285
T Nagar,1806,138,2,1,5,Family,No,House,NoSeWa,Paved,RH,4.1,3,11338200
Anna Nagar,1981,173,2,1,5,AdjLand,No,House,ELO,No Access,RL,2,3.2,12872430
Adyar,868,15,1,1,3,Normal Sale,No,Others,NoSeWa,Gravel,RL,2.3,2,9042050
T Nagar,1721,117,1,1,4,AdjLand,Yes,Others,ELO,Paved,RM,2,2.9,14874380
Velachery,1755,16,2,1,4,AdjLand,Yes,Others,AllPub,Gravel,A,4.8,4.5,10222380
Anna Nagar,1709,130,1,1,4,Family,No,Others,NoSeWa,Gravel,RH,4.8,4.3,12928590
KK Nagar,2114,46,3,2,5,AdjLand,Yes,Commercial,NoSeWa,Gravel,RH,2.7,3.9,17564820
Karapakkam,1226,180,1,1,3,Normal Sale,No,House,AllPub,Paved,A,4,4.7,4971250
Velachery,1648,111,2,1,4,Family,Yes,Others,NoSeWa,Paved,C,4.3,2,9170660
Chrompet,856,36,1,1,3,AdjLand,Yes,Others,NoSewr ,Gravel,RM,2.1,3.5,10383420
